date,id,name,y_items,y_actual_cost,total_list_size
2014-10-01,P84050,"MOUNT ROAD SURGERY",366,1538.77,7242
2014-10-01,P84673,"ANCOATS URBAN VILLAGE MEDICAL PRACTICE",463,1815.39,9102
2014-10-01,P84062,"BROOKDALE SURGERY",145,409.13,2830
2014-10-01,P84064,"NEW ISLINGTON MEDICAL CENTRE",197,926.46,3840
2014-10-01,P84022,"KINGSWAY MEDICAL PRACTICE",299,1187.97,5818
2014-10-01,P84627,"DR TIWARI'S PRACTICE",94,324.26,1825
2014-10-01,P84684,"JOLLY MEDICAL CENTRE",163,796.31,3137
2014-10-01,P84071,"WILBRAHAM SURGERY",219,1293.95,4206
2014-10-01,P84070,"NEWTON HEATH MEDICAL CENTRE",285,1661.94,5469
2014-10-01,P84644,"PARKSIDE SURGERY",198,875.11,3793
2014-10-01,P84652,"CORKLAND ROAD MEDICAL PRACTICE",360,2097.82,6810
2014-10-01,Y02325,"CHARLESTOWN MD",175,755.49,3300
2014-10-01,P84074,"WELLFIELD MEDICAL CENTRE",502,2476.23,9387
2014-10-01,P84032,"DRS HANIF & BANNURU",356,1308.33,6462
2014-10-01,Y01695,"MP VICTORIA MILL",138,633.86,2437
2014-10-01,P84030,"NEW COLLEGIATE MEDICAL CENTRE",739,4211.59,13039
2014-10-01,P84679,"WILLOWBANK SURGERY",92,331.81,1606
2014-10-01,P84637,"DR KHAN'S PRACTICE",146,647.44,2547
2014-10-01,P84016,"LEVENSHULME MEDICAL PRACTICE",398,1671.28,6865
2014-10-01,P84012,"NORTHENDEN GROUP PRACTICE",644,2992.22,11028
2014-10-01,P84056,"PRINCESS ROAD SURGERY",265,971.59,4482
2014-10-01,P84043,"CORNISHWAY GROUP PRACTICE",527,2909.65,8860
2014-10-01,P84690,"DAM HEAD MEDICAL CENTRE",158,422.33,2651
2014-10-01,P84051,"EASTLANDS MEDICAL CENTRE",318,1543.05,5320
2014-10-01,P84052,"WEST GORTON MEDICAL PRACTICE",396,1173.02,6288
2014-10-01,P84645,"PARK VIEW MEDICAL CENTRE",393,1774.27,6179
2014-10-01,P84651,"NORTHERN MOOR MEDICAL PRACTICE",188,827.88,2949
2014-10-01,P84019,"VALENTINE MEDICAL CENTRE",690,3895.84,10524
2014-10-01,P84021,"THE MAPLES MEDICAL CENTRE",518,2482.11,7722
2014-10-01,P84678,"DIDSBURY MEDICAL CENTRE - DR WHITAKER",506,2048.64,7534
2014-10-01,P84020,"PEEL HALL MEDICAL CENTRE",564,2851.24,8397
2014-10-01,P84047,"DROYLSDEN RD FAMILY PRACTICE",329,1731.89,4885
2014-10-01,P84672,"WOODLANDS MEDICAL PRACTICE",213,969.25,3023
2014-10-01,P84066,"DAVID MEDICAL CENTRE",293,1213.82,4157
2014-10-01,P84631,"ARTANE MEDICAL CENTRE",145,672.74,2005
2014-10-01,P84065,"THE SINGH MEDICAL PRACTICE",270,1251.67,3695
2014-10-01,P84040,"CONRAN MEDICAL CENTRE",361,1821.22,4869
2014-10-01,P84045,"THE PARK MEDICAL CENTRE",385,1685.17,5119
2014-10-01,P84048,"TREGENNA GROUP PRACTICE",499,1965.72,6558
2014-10-01,P84067,"HAZELDENE MEDICAL CENTRE",505,2579.77,6584
2014-10-01,P84059,"LIME SQUARE MEDICAL CENTRE",440,2682.26,5676
2014-10-01,P84663,"THE NEVILLE FAMILY CENTRE",317,3773.87,4060
2014-10-01,P84028,"GORTON MEDICAL CENTRE",651,2521.81,8330
2014-10-01,P84041,"CORNERSTONE FAMILY PRACTICE",475,1810.01,6073
2014-10-01,P84054,"WHITLEY ROAD MEDICAL CENTRE",520,1884.95,6588
2014-10-01,P84029,"BENCHILL MEDICAL PRACTICE",803,3777.36,9334
2014-10-01,P84049,"THE AVENUE MEDICAL CENTRE",850,3215.24,9845
2014-10-01,P84055,"MERSEYBANK SURGERY",230,1084.44,2586
2014-10-01,P84025,"ST GEORGE'S MEDICAL CENTRE",651,3056.39,7100
2014-10-01,P84014,"RK MEDICAL PRACTICE",397,1423.76,4287
2014-10-01,P84024,"BOWLAND MEDICAL PRACTICE",703,3695.1,7579
2014-10-01,Y02849,"CITY HEALTH CENTRE",689,2335.73,7338
2014-10-01,P84033,"BEACON MEDICAL CENTRE",413,2158.16,3839
2014-10-01,Y02890,"HAWTHORN MC",499,2553.44,3794
2014-11-01,P84605,"FERNCLOUGH SURGERY",32,153.12,2154
2014-11-01,Y02520,"SIMPSON MEDICAL PRACTICE",75,533.48,4720
2014-11-01,P84683,"THE DOC'S SURGERY",137,938.44,6256
2014-11-01,P84623,"ALEESHAN MEDICAL CENTRE",29,38.81,1297
2014-11-01,P84005,"THE VALLANCE CENTRE",195,691.48,7223
2014-11-01,P84630,"THE ARCH MEDICAL PRACTICE",346,2270.6,12381
2014-11-01,P84072,"THE ROBERT DARBISHIRE PRACTICE",559,2507.49,19985
2014-11-01,P84068,"CHORLTON FAMILY PRACTICE",286,1408.82,9847
2014-11-01,P84650,"THE ALEXANDRA PRACTICE",180,868.58,5909
2014-11-01,P84635,"THE WHITSWOOD PRACTICE",109,367.97,3488
2014-11-01,P84669,"CORNBROOK MEDICAL PRACTICE",326,1667.52,9992
2014-11-01,P84039,"THE RANGE MEDICAL CENTRE",274,1188.18,8228
2014-11-01,P84010,"THE BORCHARDT MEDICAL CENTRE",373,1654.89,11108
2014-11-01,P84677,"DIDSBURY MEDICAL CENTRE- DR ASHWORTH",190,666.28,5574
2014-11-01,P84665,"AL-SHIFA MEDICAL CENTRE",96,329.92,2749
2014-11-01,P84034,"BARLOW MEDICAL CENTRE",489,2166.85,13424
2014-11-01,P84616,"MANCHESTER MEDICAL",247,864.19,6529
2014-11-01,P84009,"AILSA CRAIG MEDICAL CENTRE",355,1518.7,9342
2014-11-01,P84689,"LONGSIGHT MEDICAL PRACTICE",182,603.55,4730
2014-11-01,P84037,"DR CUNNINGHAM & PARTNERS",266,1054.96,6825
2014-11-01,P84026,"DICKENSON ROAD MEDICAL CENTRE",251,1061.62,6303
2014-11-01,P84053,"ASHCROFT SURGERY",326,1752.98,8036
2014-11-01,P84061,"BROOKLANDS MEDICAL PRACTICE",223,1270.14,5479
2014-11-01,P84027,"WEST POINT MEDICAL CENTRE",297,1324.81,7247
2014-11-01,P84074,"WELLFIELD MEDICAL CENTRE",385,2235.32,9387
2014-11-01,P84042,"FLORENCE HOUSE MEDICAL PRACTICE",319,1302.74,7775
2014-11-01,P84038,"ASHVILLE SURGERY",326,1808.52,7899
2014-11-01,P84035,"BODEY MEDICAL CENTRE",686,3460.33,16620
2014-11-01,P84062,"BROOKDALE SURGERY",117,315.06,2830
2014-11-01,P84611,"DR CHIU, KOH AND GAN",241,845.42,5822
2014-11-01,P84639,"FALLOWFIELD MEDICAL CENTRE",88,351.49,2111
2014-11-01,P84050,"MOUNT ROAD SURGERY",302,1280.85,7242
2014-11-01,Y02325,"CHARLESTOWN MD",139,493.42,3300
2014-11-01,P84676,"OSWALD ROAD MEDICAL PRACTICE",188,997.68,4452
2014-11-01,P84022,"KINGSWAY MEDICAL PRACTICE",247,1218.55,5818
2014-11-01,Y02960,"NEW BANK HEALTH",213,892.92,5016
2014-11-01,P84652,"CORKLAND ROAD MEDICAL PRACTICE",296,3010.25,6810
2014-11-01,P84679,"WILLOWBANK SURGERY",70,199.37,1606
2014-11-01,P84017,"LADYBARN GROUP PRACTICE",447,2189.91,10222
2014-11-01,P84004,"FIVE OAKS FAMILIY PRACTICE",386,2671.05,8819
2014-11-01,P84071,"WILBRAHAM SURGERY",188,1208.37,4206
2014-11-01,P84023,"SURREY LODGE PRACTICE",366,1770.1,8106
2014-11-01,P84682,"BURNAGE HEALTHCARE PRACTICE",106,690.63,2330
2014-11-01,P84627,"DR TIWARI'S PRACTICE",88,269.3,1825
2014-11-01,P84640,"QUEENS MEDICAL CENTRE",152,877.07,3143
2014-11-01,P84626,"WILMSLOW ROAD SURGERY",227,819.72,4614
2014-11-01,P84056,"PRINCESS ROAD SURGERY",222,799.04,4482
2014-11-01,P84070,"NEWTON HEATH MEDICAL CENTRE",271,1120.27,5469
2014-11-01,P84046,"CHEETHAM HILL PRIMARY CARE CENTRE",473,1953.45,9540
2014-11-01,P84052,"WEST GORTON MEDICAL PRACTICE",324,1252.99,6288
2014-11-01,P84644,"PARKSIDE SURGERY",198,801.62,3793
2014-11-01,P84043,"CORNISHWAY GROUP PRACTICE",466,2538.51,8860
2014-11-01,P84684,"JOLLY MEDICAL CENTRE",167,735.97,3137
2014-11-01,P84030,"NEW COLLEGIATE MEDICAL CENTRE",699,3636.93,13039
2014-11-01,P84673,"ANCOATS URBAN VILLAGE MEDICAL PRACTICE",496,2171.34,9102
2014-11-01,P84040,"CONRAN MEDICAL CENTRE",269,1042.54,4869
2014-11-01,P84064,"NEW ISLINGTON MEDICAL CENTRE",216,980.74,3840
2014-11-01,P84032,"DRS HANIF & BANNURU",368,1545.86,6462
2014-11-01,P84690,"DAM HEAD MEDICAL CENTRE",152,457.86,2651
2014-11-01,P84645,"PARK VIEW MEDICAL CENTRE",355,1730.1,6179
2014-11-01,P84012,"NORTHENDEN GROUP PRACTICE",634,2884.93,11028
2014-11-01,P84051,"EASTLANDS MEDICAL CENTRE",309,1347.49,5320
2014-11-01,P84631,"ARTANE MEDICAL CENTRE",117,783.68,2005
2014-11-01,P84663,"THE NEVILLE FAMILY CENTRE",238,2843.21,4060
2014-11-01,P84018,"MAULDETH MEDICAL CENTRE",361,1635.83,6153
2014-11-01,P84651,"NORTHERN MOOR MEDICAL PRACTICE",175,767.3,2949
2014-11-01,P84020,"PEEL HALL MEDICAL CENTRE",502,2533.89,8397
2014-11-01,Y01695,"MP VICTORIA MILL",149,545.52,2437
2014-11-01,P84065,"THE SINGH MEDICAL PRACTICE",229,991.71,3695
2014-11-01,P84672,"WOODLANDS MEDICAL PRACTICE",191,1127.33,3023
2014-11-01,P84637,"DR KHAN'S PRACTICE",161,562.33,2547
2014-11-01,P84021,"THE MAPLES MEDICAL CENTRE",489,2452.49,7722
2014-11-01,P84019,"VALENTINE MEDICAL CENTRE",671,3401.65,10524
2014-11-01,P84066,"DAVID MEDICAL CENTRE",268,940.14,4157
2014-11-01,P84067,"HAZELDENE MEDICAL CENTRE",427,2472.32,6584
2014-11-01,P84048,"TREGENNA GROUP PRACTICE",429,1449.94,6558
2014-11-01,P84016,"LEVENSHULME MEDICAL PRACTICE",450,2517.48,6865
2014-11-01,P84047,"DROYLSDEN RD FAMILY PRACTICE",323,2377.12,4885
2014-11-01,P84045,"THE PARK MEDICAL CENTRE",350,1440.43,5119
2014-11-01,P84054,"WHITLEY ROAD MEDICAL CENTRE",462,1849.84,6588
2014-11-01,P84678,"DIDSBURY MEDICAL CENTRE - DR WHITAKER",561,2304.22,7534
2014-11-01,P84055,"MERSEYBANK SURGERY",196,888.36,2586
2014-11-01,P84033,"BEACON MEDICAL CENTRE",294,1658.22,3839
2014-11-01,P84025,"ST GEORGE'S MEDICAL CENTRE",547,2543.25,7100
2014-11-01,P84059,"LIME SQUARE MEDICAL CENTRE",439,1782.27,5676
2014-11-01,P84041,"CORNERSTONE FAMILY PRACTICE",473,1965.17,6073
2014-11-01,P84028,"GORTON MEDICAL CENTRE",662,2616.53,8330
2014-11-01,Y02849,"CITY HEALTH CENTRE",591,2198.08,7338
2014-11-01,P84029,"BENCHILL MEDICAL PRACTICE",775,4246.81,9334
2014-11-01,P84049,"THE AVENUE MEDICAL CENTRE",874,3454.9,9845
2014-11-01,P84014,"RK MEDICAL PRACTICE",382,1385.19,4287
2014-11-01,P84024,"BOWLAND MEDICAL PRACTICE",697,3262.41,7579
2014-11-01,Y02890,"HAWTHORN MC",513,2055.02,3794
2014-12-01,P84605,"FERNCLOUGH SURGERY",12,27.26,2154
2014-12-01,P84039,"THE RANGE MEDICAL CENTRE",215,928.03,8228
2014-12-01,P84683,"THE DOC'S SURGERY",178,1112.4,6256
2014-12-01,P84639,"FALLOWFIELD MEDICAL CENTRE",64,463.02,2111
2014-12-01,P84630,"THE ARCH MEDICAL PRACTICE",383,2166.61,12381
2014-12-01,P84072,"THE ROBERT DARBISHIRE PRACTICE",635,2678.41,19985
2014-12-01,P84005,"THE VALLANCE CENTRE",246,856.15,7223
2014-12-01,P84669,"CORNBROOK MEDICAL PRACTICE",367,1527.53,9992
2014-12-01,P84018,"MAULDETH MEDICAL CENTRE",232,885.48,6153
2014-12-01,P84068,"CHORLTON FAMILY PRACTICE",374,1612.72,9847
2014-12-01,P84677,"DIDSBURY MEDICAL CENTRE- DR ASHWORTH",217,723.62,5574
2014-12-01,Y02325,"CHARLESTOWN MD",135,544.41,3300
2014-12-01,P84010,"THE BORCHARDT MEDICAL CENTRE",460,2216.1,11108
2014-12-01,P84034,"BARLOW MEDICAL CENTRE",594,3501.46,13424
2014-12-01,P84623,"ALEESHAN MEDICAL CENTRE",58,83.11,1297
2014-12-01,P84035,"BODEY MEDICAL CENTRE",754,3019.15,16620
2014-12-01,P84038,"ASHVILLE SURGERY",360,2242.14,7899
2014-12-01,P84027,"WEST POINT MEDICAL CENTRE",331,1546.46,7247
2014-12-01,P84009,"AILSA CRAIG MEDICAL CENTRE",438,2535.63,9342
2014-12-01,Y02520,"SIMPSON MEDICAL PRACTICE",222,1160.12,4720
2014-12-01,P84026,"DICKENSON ROAD MEDICAL CENTRE",304,1161.21,6303
2014-12-01,P84635,"THE WHITSWOOD PRACTICE",170,771.34,3488
2014-12-01,P84650,"THE ALEXANDRA PRACTICE",291,1531.58,5909
2014-12-01,P84053,"ASHCROFT SURGERY",400,1729.99,8036
2014-12-01,P84616,"MANCHESTER MEDICAL",326,1227.88,6529
2014-12-01,P84050,"MOUNT ROAD SURGERY",372,1723.81,7242
2014-12-01,P84042,"FLORENCE HOUSE MEDICAL PRACTICE",408,1500.66,7775
2014-12-01,P84640,"QUEENS MEDICAL CENTRE",167,1011.31,3143
2014-12-01,P84074,"WELLFIELD MEDICAL CENTRE",501,2399.67,9387
2014-12-01,P84689,"LONGSIGHT MEDICAL PRACTICE",257,1014.27,4730
2014-12-01,P84046,"CHEETHAM HILL PRIMARY CARE CENTRE",527,2114.35,9540
2014-12-01,P84665,"AL-SHIFA MEDICAL CENTRE",154,295.93,2749
2014-12-01,P84023,"SURREY LODGE PRACTICE",455,1879.16,8106
2014-12-01,P84611,"DR CHIU, KOH AND GAN",330,1606.64,5822
2014-12-01,P84004,"FIVE OAKS FAMILIY PRACTICE",507,3031.1,8819
2014-12-01,P84064,"NEW ISLINGTON MEDICAL CENTRE",225,1009.08,3840
2014-12-01,P84037,"DR CUNNINGHAM & PARTNERS",408,1667.51,6825
2014-12-01,P84652,"CORKLAND ROAD MEDICAL PRACTICE",408,3304.19,6810
2014-12-01,P84676,"OSWALD ROAD MEDICAL PRACTICE",267,1161.38,4452
2014-12-01,Y02960,"NEW BANK HEALTH",301,1193.27,5016
2014-12-01,P84684,"JOLLY MEDICAL CENTRE",189,781.25,3137
2014-12-01,P84682,"BURNAGE HEALTHCARE PRACTICE",141,695.34,2330
2014-12-01,P84017,"LADYBARN GROUP PRACTICE",630,2681.89,10222
2014-12-01,P84033,"BEACON MEDICAL CENTRE",237,1211.55,3839
2014-12-01,P84030,"NEW COLLEGIATE MEDICAL CENTRE",805,4043.03,13039
2014-12-01,P84679,"WILLOWBANK SURGERY",100,270.98,1606
2014-12-01,P84061,"BROOKLANDS MEDICAL PRACTICE",342,1380.71,5479
2014-12-01,P84062,"BROOKDALE SURGERY",178,460.68,2830
2014-12-01,P84651,"NORTHERN MOOR MEDICAL PRACTICE",189,677.21,2949
2014-12-01,P84070,"NEWTON HEATH MEDICAL CENTRE",359,1504.9,5469
2014-12-01,P84645,"PARK VIEW MEDICAL CENTRE",410,2462.52,6179
2014-12-01,P84032,"DRS HANIF & BANNURU",438,3810.84,6462
2014-12-01,P84022,"KINGSWAY MEDICAL PRACTICE",396,1790.76,5818
2014-12-01,P84690,"DAM HEAD MEDICAL CENTRE",186,580.28,2651
2014-12-01,P84071,"WILBRAHAM SURGERY",296,1594.48,4206
2014-12-01,P84052,"WEST GORTON MEDICAL PRACTICE",445,1515.09,6288
2014-12-01,P84644,"PARKSIDE SURGERY",271,1447.58,3793
2014-12-01,P84637,"DR KHAN'S PRACTICE",182,606.32,2547
2014-12-01,P84673,"ANCOATS URBAN VILLAGE MEDICAL PRACTICE",657,2609.86,9102
2014-12-01,P84627,"DR TIWARI'S PRACTICE",132,373.99,1825
2014-12-01,Y01695,"MP VICTORIA MILL",178,1896.59,2437
2014-12-01,P84626,"WILMSLOW ROAD SURGERY",343,1022.22,4614
2014-12-01,P84051,"EASTLANDS MEDICAL CENTRE",396,1754.36,5320
2014-12-01,P84043,"CORNISHWAY GROUP PRACTICE",662,3070.55,8860
2014-12-01,P84056,"PRINCESS ROAD SURGERY",348,1214.16,4482
2014-12-01,P84663,"THE NEVILLE FAMILY CENTRE",319,2669.3,4060
2014-12-01,P84019,"VALENTINE MEDICAL CENTRE",838,4720.35,10524
2014-12-01,P84012,"NORTHENDEN GROUP PRACTICE",890,4249.1,11028
2014-12-01,P84066,"DAVID MEDICAL CENTRE",336,1261.91,4157
2014-12-01,P84065,"THE SINGH MEDICAL PRACTICE",301,1191.02,3695
2014-12-01,P84021,"THE MAPLES MEDICAL CENTRE",630,3359.05,7722
2014-12-01,P84016,"LEVENSHULME MEDICAL PRACTICE",563,2748.25,6865
2014-12-01,P84054,"WHITLEY ROAD MEDICAL CENTRE",552,2143.97,6588
2014-12-01,P84631,"ARTANE MEDICAL CENTRE",169,833.38,2005
2014-12-01,P84040,"CONRAN MEDICAL CENTRE",413,1783.98,4869
2014-12-01,P84028,"GORTON MEDICAL CENTRE",729,2496.34,8330
2014-12-01,P84048,"TREGENNA GROUP PRACTICE",577,1913.96,6558
2014-12-01,P84020,"PEEL HALL MEDICAL CENTRE",739,2920.61,8397
2014-12-01,P84067,"HAZELDENE MEDICAL CENTRE",589,2847.4,6584
2014-12-01,P84047,"DROYLSDEN RD FAMILY PRACTICE",450,1913.34,4885
2014-12-01,P84045,"THE PARK MEDICAL CENTRE",476,1627.34,5119
2014-12-01,P84678,"DIDSBURY MEDICAL CENTRE - DR WHITAKER",742,2678.87,7534
2014-12-01,P84672,"WOODLANDS MEDICAL PRACTICE",298,1673.25,3023
2014-12-01,P84029,"BENCHILL MEDICAL PRACTICE",943,4610.8,9334
2014-12-01,P84025,"ST GEORGE'S MEDICAL CENTRE",728,2975.33,7100
2014-12-01,P84041,"CORNERSTONE FAMILY PRACTICE",630,2217.51,6073
2014-12-01,P84014,"RK MEDICAL PRACTICE",453,1424.85,4287
2014-12-01,P84059,"LIME SQUARE MEDICAL CENTRE",606,2662.95,5676
2014-12-01,P84049,"THE AVENUE MEDICAL CENTRE",1056,3906.84,9845
2014-12-01,P84024,"BOWLAND MEDICAL PRACTICE",880,3754.02,7579
2014-12-01,Y02849,"CITY HEALTH CENTRE",854,2927,7338
2014-12-01,P84055,"MERSEYBANK SURGERY",324,1070.62,2586
2014-12-01,Y02890,"HAWTHORN MC",556,2341.75,3794
2015-01-01,P84677,"DIDSBURY MEDICAL CENTRE- DR ASHWORTH",298,1353.2,0
2015-01-01,P84605,"FERNCLOUGH SURGERY",10,31.6,2159
2015-01-01,P84683,"THE DOC'S SURGERY",141,707.89,6360
2015-01-01,P84072,"THE ROBERT DARBISHIRE PRACTICE",550,2723.59,19797
2015-01-01,P84630,"THE ARCH MEDICAL PRACTICE",355,2274.41,12762
2015-01-01,P84005,"THE VALLANCE CENTRE",209,787.84,7190
2015-01-01,P84623,"ALEESHAN MEDICAL CENTRE",40,92.6,1304
2015-01-01,Y02325,"CHARLESTOWN MD",105,682.63,3279
2015-01-01,P84669,"CORNBROOK MEDICAL PRACTICE",330,1503.26,10298
2015-01-01,P84635,"THE WHITSWOOD PRACTICE",117,567.88,3523
2015-01-01,P84068,"CHORLTON FAMILY PRACTICE",328,1519.35,9731
2015-01-01,P84639,"FALLOWFIELD MEDICAL CENTRE",72,367.06,2118
2015-01-01,P84010,"THE BORCHARDT MEDICAL CENTRE",385,1891.61,11029
2015-01-01,P84038,"ASHVILLE SURGERY",301,2209.57,7955
2015-01-01,P84678,"DIDSBURY MEDICAL CENTRE - DR WHITAKER",503,2275.65,13170
2015-01-01,P84035,"BODEY MEDICAL CENTRE",640,4011.7,16592
2015-01-01,P84616,"MANCHESTER MEDICAL",254,912.9,6539
2015-01-01,P84009,"AILSA CRAIG MEDICAL CENTRE",371,2168.6,9336
2015-01-01,P84039,"THE RANGE MEDICAL CENTRE",328,1537.93,8179
2015-01-01,P84034,"BARLOW MEDICAL CENTRE",539,2823.32,13439
2015-01-01,P84026,"DICKENSON ROAD MEDICAL CENTRE",256,1138.79,6361
2015-01-01,P84050,"MOUNT ROAD SURGERY",307,1778.73,7277
2015-01-01,P84650,"THE ALEXANDRA PRACTICE",252,1291.47,5895
2015-01-01,P84027,"WEST POINT MEDICAL CENTRE",311,1574.67,7232
2015-01-01,P84062,"BROOKDALE SURGERY",123,365.31,2825
2015-01-01,P84018,"MAULDETH MEDICAL CENTRE",262,1618.24,5991
2015-01-01,P84640,"QUEENS MEDICAL CENTRE",138,855.82,3100
2015-01-01,P84665,"AL-SHIFA MEDICAL CENTRE",124,355.96,2775
2015-01-01,Y02520,"SIMPSON MEDICAL PRACTICE",218,1493.13,4870
2015-01-01,P84689,"LONGSIGHT MEDICAL PRACTICE",218,927.65,4833
2015-01-01,P84056,"PRINCESS ROAD SURGERY",205,799.89,4505
2015-01-01,P84676,"OSWALD ROAD MEDICAL PRACTICE",216,979.22,4495
2015-01-01,P84030,"NEW COLLEGIATE MEDICAL CENTRE",630,4559.42,13073
2015-01-01,P84023,"SURREY LODGE PRACTICE",403,1713.82,8320
2015-01-01,P84652,"CORKLAND ROAD MEDICAL PRACTICE",337,3394.9,6883
2015-01-01,P84644,"PARKSIDE SURGERY",191,688.51,3872
2015-01-01,P84611,"DR CHIU, KOH AND GAN",289,1265.95,5842
2015-01-01,P84033,"BEACON MEDICAL CENTRE",192,904.67,3834
2015-01-01,P84074,"WELLFIELD MEDICAL CENTRE",483,2374.22,9588
2015-01-01,P84004,"FIVE OAKS FAMILIY PRACTICE",448,2696.91,8814
2015-01-01,Y02960,"NEW BANK HEALTH",256,1128.92,4977
2015-01-01,P84017,"LADYBARN GROUP PRACTICE",531,2680.64,10268
2015-01-01,P84673,"ANCOATS URBAN VILLAGE MEDICAL PRACTICE",482,2069.09,9316
2015-01-01,P84061,"BROOKLANDS MEDICAL PRACTICE",288,1697.53,5543
2015-01-01,P84042,"FLORENCE HOUSE MEDICAL PRACTICE",410,1674.19,7881
2015-01-01,P84053,"ASHCROFT SURGERY",417,2243.28,7974
2015-01-01,P84037,"DR CUNNINGHAM & PARTNERS",364,1519.57,6913
2015-01-01,P84064,"NEW ISLINGTON MEDICAL CENTRE",206,994.92,3887
2015-01-01,P84684,"JOLLY MEDICAL CENTRE",169,661.73,3170
2015-01-01,P84627,"DR TIWARI'S PRACTICE",102,401.17,1862
2015-01-01,P84682,"BURNAGE HEALTHCARE PRACTICE",128,734.26,2308
2015-01-01,P84046,"CHEETHAM HILL PRIMARY CARE CENTRE",548,2575.5,9720
2015-01-01,P84690,"DAM HEAD MEDICAL CENTRE",152,811.17,2640
2015-01-01,P84637,"DR KHAN'S PRACTICE",150,489.13,2559
2015-01-01,P84645,"PARK VIEW MEDICAL CENTRE",366,1927.02,6236
2015-01-01,P84016,"LEVENSHULME MEDICAL PRACTICE",409,1715.39,6889
2015-01-01,P84651,"NORTHERN MOOR MEDICAL PRACTICE",177,789.16,2953
2015-01-01,Y01695,"MP VICTORIA MILL",147,740.24,2438
2015-01-01,P84626,"WILMSLOW ROAD SURGERY",281,902.74,4654
2015-01-01,P84070,"NEWTON HEATH MEDICAL CENTRE",330,1463.48,5452
2015-01-01,P84663,"THE NEVILLE FAMILY CENTRE",249,2663.6,4028
2015-01-01,P84022,"KINGSWAY MEDICAL PRACTICE",364,1406.39,5831
2015-01-01,P84071,"WILBRAHAM SURGERY",262,1607.26,4196
2015-01-01,P84065,"THE SINGH MEDICAL PRACTICE",238,888.3,3699
2015-01-01,P84052,"WEST GORTON MEDICAL PRACTICE",417,1541.46,6322
2015-01-01,P84054,"WHITLEY ROAD MEDICAL CENTRE",440,1875.21,6599
2015-01-01,P84012,"NORTHENDEN GROUP PRACTICE",736,3160.19,11016
